"name","description","neighborhood_overview","host_name","host_location","host_about","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","room_type","accommodates","bathrooms","bedrooms","beds","amenities","price","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","n_host_verifications"
"HY Private Room, 41D4","Private room in 5bedrooms 2 bath Apartment. 4th Floor walk-up, shared kitchen and 2 bathrooms. Apartment located in the heart of the City, walk to Times Sq, Hudson Yards, Empire State Building, MSG. 2 blocks all train ( Penn Station). Kitchen equipped for light cooking only, electric kettle, 2 head electric cook top, microwave.<br /><br /><b>The space</b><br />Each individual room & apartment is supplied with an electric space heater which is the primary source of heat sufficient enough for the listing. The unit maintains a 75-80 degree Fahrenheit temperature when on.","Hells Kitchen, Hudson Yards<br />10 min walk to Times Sq,<br />5 min walk to Hudson Yards,<br />10 min MSG","Hudson","US","","1.0","0.99","True","22.0","22.0","True","True","Manhattan","Private room","2","2.0","1.0","","[""Air conditioning"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Shampoo"", ""Hangers"", ""Heating"", ""Fire extinguisher"", ""Kitchen"", ""Wifi"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed""]","99.0","2","1125","2.0","2.0","1125.0","1125.0","2.0","1125.0","True","3","31","61","148","7","7","1","4.43","4.14","4.29","4.14","5.0","4.14","True","22","8","14","0","5.25","7"
"Private bedroom in Apt Share Bushwick/JMZ Train!","We have a bedroom available in our fully furnished share apartment in East Williamsburg/Bushwick. Our gorgeous apt with awesome roommates, is ideal for someone who needs a cool space to live with like minded individuals short or long term. Beautifully furnished with a Vintage chic style, apartment is friendly, social and beautifully designed :)<br /><br /><b>The space</b><br />The Apartment is a large apartment that covers the full floor of the building. It has two full bathrooms, a large eat in kitchen and a large living room space. There are 6 other bedrooms, a roof top and is in a close proximity to the subways JMZ, or L train. 15 mins to lower East Side, Manhattan.","Bushwick has become synonymous with new music and buzzy eateries, cutting-edge artists and mercurial fashion trends. Once-decrepit warehouses have been remade into studios, galleries and venues, sometimes serving as legal canvases for street artists; meanwhile, diamond-in-the-rough restaurants draw crowds from all over. The nighttime allure is especially strong, with a mix of dive bars and cocktail lounges, rock clubs and hard-to-define performance spaces. "" NYC the official guide.","Eibhlin","Brooklyn, New York, United States","Hi there! 

I love to travel, cook, eat and chat with interesting people from all over the world. Love hosting people and welcoming them to NYC, such a vibrant buzzing City!

Love forward to accommodating you!","0.62","0.67","True","0.0","0.0","True","True","Brooklyn","Private room","1","2.0","1.0","","[""Bathtub"", ""Hangers"", ""Kitchen"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Window AC unit"", ""Cooking basics"", ""Lock on bedroom door"", ""Dedicated workspace"", ""Wifi"", ""Heating"", ""Dishes and silverware"", ""Smoke alarm""]","35.0","30","1125","30.0","30.0","1125.0","1125.0","30.0","1125.0","True","1","31","61","336","1","1","0","4.0","4.0","4.0","4.0","5.0","5.0","False","11","0","11","0","0.26","5"
"Sunny two bedroom apartment in the heart of NYC","Located in a doorman building in Union Square, this stylish apartment with sunny southern and eastern exposures and city views is the perfect place to stay while visiting NYC. The vibrant neighborhood boasts many renowned restaurants, cafes, shops, an acclaimed outdoor greenmarket, and the historic Union Square Park. Close to several subway lines and walking distance to many other must-see areas including Soho, Noho, Chelsea, The Meatpacking District and The West and East Villages.<br /><br /><b>The space</b><br />This 16th floor corner apartment has panoramic city views and is flooded with natural light. Every room has a chic yet cozy feel and all beds, including the pull out couch are very comfortable. The fully equipped kitchen is large enough to easily prepare a meal.<br /><br /><b>Guest access</b><br />Union Square is walking distance to several neighborhoods and a hub for many subway lines.","","Ilse","US","","1.0","0.91","True","0.0","0.0","True","True","Manhattan","Entire home/apt","5","2.0","2.0","","[""Extra pillows and blankets"", ""TV"", ""Hot water kettle"", ""Radiant heating"", ""Wine glasses"", ""Nespresso machine"", ""Microwave"", ""Toaster"", ""Dedicated workspace: office chair, table, and desk"", ""Hangers"", ""Long term stays allowed"", ""Portable fans"", ""Carbon monoxide alarm"", ""Washer"", ""Cleaning products"", ""Wifi"", ""Dishes and silverware"", ""Air conditioning"", ""Essentials"", ""Hot water"", ""Bathtub"", ""Kitchen"", ""Fire extinguisher"", ""Cooking basics"", ""Hair dryer"", ""Room-darkening shades"", ""Gas stove"", ""Smoke alarm"", ""Dishwasher"", ""Dining table"", ""Freezer"", ""Oven"", ""Refrigerator"", ""Bed linens"", ""Free dryer \u2013 In unit"", ""Coffee maker""]","495.0","4","365","4.0","4.0","365.0","365.0","4.0","365.0","True","2","2","2","2","4","4","0","5.0","5.0","5.0","5.0","5.0","5.0","False","1","1","0","0","0.85","2"
"Small oasis","Simple private room with private entrance containing sofa bed and work desk  in owner's home with it's own full bathroom. Equiped with microwave, coffee maker, mini fridge.  The temperature in the room is self adjustable for cold/heat without the need to ask the host to keep the room warm/make colder. Guest will arrive through the private entrance located at the back of the house.Self check in. Located near stores and half block from buses.<br /><br /><b>Guest access</b><br />The room and bathroom is allocated solely for the guest","Quiet safe neighborhood with stores and restaurants nearby as well as public transportation","Irisha","New York, New York, United States","In addition to housing, we also provide transportation to and from airport for a smaller fee than taxi or UBER to make your experince with us more memorable.","1.0","0.97","True","3.0","3.0","True","True","Queens","Private room","2","1.0","","","[""Shared fenced garden or backyard"", ""Security cameras on property"", ""Children\u2019s books and toys"", ""Dedicated workspace"", ""Hot water"", ""Coffee maker"", ""Refrigerator"", ""Lockbox"", ""Hangers"", ""First aid kit"", ""Hair dryer"", ""Microwave"", ""Long term stays allowed"", ""Air conditioning"", ""Free street parking"", ""Bathtub"", ""Private entrance"", ""Shampoo"", ""Iron"", ""Heating"", ""Luggage dropoff allowed"", ""Wifi"", ""Essentials""]","60.0","1","1125","1.0","1.0","1125.0","1125.0","1.0","1125.0","True","18","48","78","168","9","9","0","3.78","3.78","4.56","4.0","4.11","3.67","True","3","2","1","0","5.74","5"
"Small comfortable room for rent! 20 mins to City!","Modern comfortable apartment with a small bedroom available for rent with closet, window, and a small but comfortable bed to get a great night sleep!! This recently renovated 5 bedroom apartment invites you to accommodate this bedroom and share with friendly, but busy roommates in the apartment with a lovely big kitchen and two full bathrooms. Feel free to cook all your meals and enjoy the apartment with roof top and close proximity to the Subway at the Gates stop on the J train.","","Eibhlin","Brooklyn, New York, United States","Hi there! 

I love to travel, cook, eat and chat with interesting people from all over the world. Love hosting people and welcoming them to NYC, such a vibrant buzzing City!

Love forward to accommodating you!","0.62","0.67","True","0.0","0.0","True","True","Brooklyn","Private room","1","2.0","1.0","","[""Hangers"", ""Kitchen"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Lock on bedroom door"", ""Wifi"", ""Heating"", ""Smoke alarm"", ""Air conditioning""]","33.0","30","1125","30.0","30.0","1125.0","1125.0","30.0","1125.0","True","0","0","0","273","1","1","0","1.0","3.0","2.0","1.0","2.0","2.0","False","11","0","11","0","0.28","5"
"Studio Room in Upper East Side","You will have the whole studio apartment to yourself. It is located in the rich and upscale neighborhood of Upper East Side, just 10 minutes walk to Central park and 3 train stops (10 minutes) to time Square. Q and 6 trains only 5 minutes away. The place is just one flight of stairs walk up, it is situated close to all attraction New York has to offer. Restaurants, bars, beauty spas etc.. are just a walking distance away.This is ONLY for one guest or 2 people max - who are couples or friends.","","Tolu","US","","","0.71","True","0.0","0.0","True","True","Manhattan","Entire home/apt","2","1.0","1.0","","[""Hangers"", ""Kitchen"", ""TV"", ""Cooking basics"", ""Dedicated workspace"", ""Wifi"", ""Private entrance"", ""Smoke alarm"", ""Air conditioning""]","81.0","3","5","3.0","3.0","1125.0","1125.0","3.0","1125.0","True","0","0","0","0","2","2","0","5.0","5.0","5.0","5.0","5.0","5.0","True","1","1","0","0","0.38","2"
"Adorable room/ lofted bed with desk close to City!","Hi!<br />Large apartment whole floor! The majority of roommies are students/interns. Located right off the JMZ Flushing stop and surrounded by delis, restaurants, grocery stores, bars, and cafes. Cool area! Bushwick is very trendy! Looking for someone great to join us!<br /><br />The Bedroom has a lofted queen bed, with good head space. I can sit up in it and I'm 6 foot 1 :)<br /><br /><b>The space</b><br />There is a large living room, spacious, right with two dazzling chandeliers to welcome all who enters! Large eat in kitchen which is fully stocked with plates, pots, pans, cutlery for you to use. So just need to bring your food :)<br />There are two full bathrooms to share with the other roommates. The apartment is good vibes, comfortable and just waiting for you to book! We have a fantastic cleaning lady that comes once a week and does a cleaning and sanitizes all common areas to keep it clean and fresh!","This is Bushwick/ East Williamsburg! Very Brooklyn, very New York. Might feel a bit gritty or edgy but a wonderful neighbourhood where'll you feel at home within a few days after getting a little familiar with things.","Eibhlin","Brooklyn, New York, United States","Hi there! 

I love to travel, cook, eat and chat with interesting people from all over the world. Love hosting people and welcoming them to NYC, such a vibrant buzzing City!

Love forward to accommodating you!","0.62","0.67","True","0.0","0.0","True","True","Brooklyn","Private room","1","2.0","1.0","","[""Bathtub"", ""Hangers"", ""Kitchen"", ""Microwave"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Cooking basics"", ""Lock on bedroom door"", ""Dedicated workspace: desk"", ""Oven"", ""Refrigerator"", ""Wifi"", ""Heating"", ""Dishes and silverware"", ""Smoke alarm"", ""Hot water""]","35.0","30","1125","30.0","30.0","1125.0","1125.0","30.0","1125.0","True","15","45","75","350","1","1","0","4.0","5.0","5.0","5.0","3.0","4.0","False","11","0","11","0","0.24","5"
"Spacious and comfort bedroom New York! Manhattan!!","Hello, welcome to my home! <br />I am located located in Upper Manhattan. Perfect location with easy access to Times Square NYC and Central Park. Just 1 block away from B, C 135th St Subway station. You will be renting a private bedroom on a 4 bedroom and 2 shared bathroom apartment. <br />I would love to make you feel at home, my apartment is located on the 5th floor (with elevator) <br />Feel free to contact me, I would gladly help you out! Looking forward to see you here in NYC!<br /><br /><b>The space</b><br />The apartment is very clean and tidy. Your room is your own private room, however, the bathroom and kitchen are shared with the other room.  The kitchen is very clean. you will be able to use it to cook. The bathroom has a toilet, shower/tub, and sink and all are kept extremely clean! We sanitize everything between each reservation. <br /><br />The building is easily accessible and has a spacious lobby with elevator. The ambiance in the building is safe and quiet, mostly youn","","Kevin","US","","1.0","0.83","True","15.0","15.0","True","True","Manhattan","Private room","3","2.0","1.0","2.0","[""Security cameras on property"", ""Lock on bedroom door"", ""Microwave"", ""Hangers"", ""Lockbox"", ""Carbon monoxide alarm"", ""Washer"", ""Wifi"", ""Heating"", ""Shampoo"", ""Dryer"", ""Dishes and silverware"", ""Air conditioning"", ""Free street parking"", ""Essentials"", ""Hot water"", ""Kitchen"", ""Fire extinguisher"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Smoke alarm"", ""2-burner portable electric stove electric stove"", ""Dining table"", ""Iron"", ""Freezer"", ""Elevator"", ""Refrigerator"", ""Bed linens"", ""Coffee maker""]","119.0","5","25","5.0","5.0","25.0","25.0","5.0","25.0","True","2","32","62","63","11","11","3","4.55","4.82","3.91","4.64","4.45","4.73","False","14","0","14","0","9.71","2"
"Brand New Bright and Clean Private two bedrooms","Brand New bright and clean beautiful two bedrooms apartment. Perfect for traveling groups. Private contactless entrance. Very convenient location, closed with restaurants, supermarkets.  One block away to D train station 5 Minutes walk to station. 20 mins to Downtown Brooklyn Barclays Center, Prospect Park, Brooklyn Zoo/Museum, Coney Island, Riis, Plum, Manhattan and Rockaway Beaches. 30 mins. from Brooklyn Bridge water front districts and Lower Manhattan. 30 Minutes from NYC airports.<br /><br /><b>Guest access</b><br />It will be self- check in and the lock code will be sending one day before your arrival. Street parking only, but its easy to find a parking from Bay 40st to Bay 43st.<br /><br /><b>Other things to note</b><br />If you needs anything ( which does not have in apartment), please feel free to text me to see I can arrange or provide for you! Hope you enjoy to stay my place.","Its a safe neighborhood and very convenient! 5mins walk to 86st, a lot of asian and Italian restaurants.","Christine","Brooklyn, New York, United States","","1.0","0.96","True","0.0","0.0","True","True","Brooklyn","Entire home/apt","4","1.0","2.0","2.0","[""Air conditioning"", ""Dedicated workspace"", ""Cooking basics"", ""Lockbox"", ""Wifi"", ""Shampoo"", ""Private entrance"", ""Hangers"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Smoke alarm"", ""Essentials"", ""Long term stays allowed""]","128.0","1","1125","1.0","1.0","1125.0","1125.0","1.0","1125.0","True","10","40","70","332","33","33","2","4.67","4.76","4.7","4.58","4.58","4.67","True","1","1","0","0","9.25","2"
"white tara house","""Private room in beautiful house in Queens located 1 block/min walk from subway station, 9 min away LGA airport 20 min form JFK Int'l airport & 25 min to time squar and central park. Easy to get anywhere with public transportation. This neighbourhood is Hispanic neighbour and bar and restaurant like Pio Pio, Riko Peruvian and all himalayan and Indian restaurant are close by neighbourhood.  While statying realtiveley close to all tourist area & you can feel and taste of a real NYC.<br /><br /><b>Other things to note</b><br />This house is equipped with smart lock and each guest will receive key fobs. In case of lost $50 is charge for key fobs replacement. If guests, stay more than a week cleaning fees will be charge $50. Thank you.","His panic","Kunchok","New York, New York, United States","","1.0","0.98","True","2.0","2.0","True","True","Queens","Private room","2","1.0","1.0","1.0","[""Luggage dropoff allowed"", ""TV"", ""Security cameras on property"", ""Lock on bedroom door"", ""Keurig coffee machine"", ""Hot water kettle"", ""Wine glasses"", ""Toaster"", ""Microwave"", ""First aid kit"", ""Soap body soap"", ""Hangers"", ""Hot tub"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Cleaning products"", ""Wifi"", ""Laundromat nearby"", ""Heating"", ""Shampoo"", ""Dishes and silverware"", ""Private entrance"", ""Air conditioning"", ""Free street parking"", ""Essentials"", ""Hot water"", ""Bathtub"", ""Stove stainless steel gas stove"", ""Conditioner"", ""Safe"", ""Kitchen"", ""Fire extinguisher"", ""Cooking basics"", ""Dedicated workspace"", ""Oven stainless steel oven"", ""Hair dryer"", ""Room-darkening shades"", ""Rice maker"", ""Smoke alarm"", ""Dining table"", ""Iron"", ""Fridge refrigerator"", ""Trash compactor"", ""Shower gel"", ""Coffee maker""]","62.0","2","15","2.0","2.0","15.0","15.0","2.0","15.0","True","9","38","68","158","26","26","4","4.62","4.58","4.85","4.81","4.85","4.81","False","3","0","3","0","7.5","2"
